neighborhood,total_incidents,top_crime_types,violent_pct,domestic_pct,arrest_rate_pct,peak_hour,peak_day,night_crime_pct,top_location,peak_month,peak_hour_label
Austin,11056,BATTERY | THEFT | CRIMINAL DAMAGE,41.4,28.0,20.0,0,Saturday,48.7,STREET,Jul,12am–1am
Near North Side,10826,THEFT | BATTERY | DECEPTIVE PRACTICE,25.1,6.4,14.9,12,Saturday,45.4,STREET,Jul,12pm–1pm
Near West Side,10254,THEFT | BATTERY | CRIMINAL DAMAGE,28.3,10.7,10.9,0,Friday,45.8,STREET,Jul,12am–1am
Loop,8275,THEFT | BATTERY | DECEPTIVE PRACTICE,24.7,3.8,19.7,15,Friday,38.1,STREET,Aug,3pm–4pm
South Shore,7963,BATTERY | THEFT | CRIMINAL DAMAGE,41.2,27.5,13.2,0,Friday,47.6,APARTMENT,Jul,12am–1am
West Town,6766,THEFT | CRIMINAL DAMAGE | BATTERY,21.6,8.0,8.3,0,Friday,49.1,STREET,Oct,12am–1am
North Lawndale,6100,BATTERY | NARCOTICS | THEFT,42.0,24.7,28.1,12,Thursday,47.8,STREET,May,12pm–1pm
Greater Grand Crossing,5992,BATTERY | THEFT | ASSAULT,44.6,28.4,16.5,0,Monday,48.9,APARTMENT,Jul,12am–1am
Lake View,5825,THEFT | BATTERY | DECEPTIVE PRACTICE,23.0,4.8,8.8,0,Saturday,48.6,STREET,Jun,12am–1am
Auburn Gresham,5778,BATTERY | CRIMINAL DAMAGE | THEFT,38.7,30.8,12.6,0,Monday,48.9,STREET,Jul,12am–1am
Humboldt Park,5739,BATTERY | NARCOTICS | THEFT,35.4,19.4,28.2,16,Sunday,44.6,STREET,May,4pm–5pm
Chatham,5122,BATTERY | THEFT | CRIMINAL DAMAGE,38.7,26.3,14.2,0,Friday,46.0,APARTMENT,Jul,12am–1am
Roseland,5057,BATTERY | THEFT | CRIMINAL DAMAGE,38.3,26.7,19.0,0,Monday,48.1,RESIDENCE,Oct,12am–1am
Englewood,4604,BATTERY | THEFT | ASSAULT,44.7,29.3,17.9,0,Thursday,48.7,STREET,Jul,12am–1am
Chicago Lawn,4522,BATTERY | THEFT | CRIMINAL DAMAGE,40.8,26.8,19.3,0,Wednesday,49.4,STREET,Aug,12am–1am
Logan Square,4369,THEFT | CRIMINAL DAMAGE | BATTERY,22.7,10.9,15.7,18,Wednesday,48.0,STREET,Aug,6pm–7pm
West Englewood,4116,BATTERY | THEFT | CRIMINAL DAMAGE,42.0,27.7,19.6,0,Friday,50.1,STREET,Jul,12am–1am
Uptown,3982,THEFT | BATTERY | CRIMINAL DAMAGE,32.0,11.0,12.8,0,Wednesday,42.6,APARTMENT,Jul,12am–1am
Belmont Cragin,3828,THEFT | BATTERY | CRIMINAL DAMAGE,33.2,20.5,16.9,0,Wednesday,50.5,STREET,Oct,12am–1am
Lincoln Park,3774,THEFT | CRIMINAL DAMAGE | DECEPTIVE PRACTICE,17.1,4.5,6.9,12,Saturday,42.9,STREET,Jul,12pm–1pm
Woodlawn,3632,THEFT | BATTERY | CRIMINAL DAMAGE,38.0,23.2,14.5,0,Monday,47.6,APARTMENT,Oct,12am–1am
South Chicago,3615,BATTERY | CRIMINAL DAMAGE | THEFT,39.5,27.7,14.8,0,Friday,51.8,STREET,Aug,12am–1am
South Lawndale,3589,BATTERY | THEFT | ASSAULT,42.9,22.4,23.3,0,Sunday,49.6,STREET,Jul,12am–1am
East Garfield Park,3547,BATTERY | THEFT | NARCOTICS,40.7,25.4,22.3,0,Sunday,45.3,STREET,Jul,12am–1am
Rogers Park,3531,THEFT | BATTERY | CRIMINAL DAMAGE,34.3,17.7,17.9,12,Wednesday,44.9,APARTMENT,Aug,12pm–1pm
New City,3485,BATTERY | THEFT | ASSAULT,44.3,23.3,16.9,0,Sunday,51.3,STREET,Aug,12am–1am
Grand Boulevard,3341,THEFT | BATTERY | CRIMINAL DAMAGE,31.9,22.2,12.1,0,Monday,46.9,STREET,Oct,12am–1am
West Garfield Park,3209,BATTERY | NARCOTICS | THEFT,43.4,27.0,26.5,16,Saturday,48.0,STREET,Jul,4pm–5pm
West Ridge,3115,THEFT | BATTERY | CRIMINAL DAMAGE,31.5,17.7,10.5,0,Friday,48.7,APARTMENT,Sep,12am–1am
West Pullman,3072,BATTERY | THEFT | CRIMINAL DAMAGE,36.9,29.4,15.7,0,Monday,50.3,RESIDENCE,Jul,12am–1am
Portage Park,2970,THEFT | BATTERY | CRIMINAL DAMAGE,27.6,17.3,22.2,0,Thursday,49.1,STREET,Jul,12am–1am
Douglas,2934,THEFT | BATTERY | CRIMINAL DAMAGE,30.8,14.8,11.5,0,Wednesday,48.2,STREET,Jun,12am–1am
Edgewater,2754,THEFT | BATTERY | ASSAULT,30.5,13.4,12.2,0,Wednesday,43.0,APARTMENT,Apr,12am–1am
Washington Heights,2688,THEFT | BATTERY | CRIMINAL DAMAGE,34.0,21.7,14.1,0,Friday,47.7,STREET,Oct,12am–1am
Lower West Side,2669,THEFT | BATTERY | CRIMINAL DAMAGE,36.5,14.7,13.0,0,Sunday,48.8,STREET,May,12am–1am
Hyde Park,2514,THEFT | CRIMINAL DAMAGE | BATTERY,23.1,11.7,6.4,14,Friday,45.1,STREET,Jun,2pm–3pm
Washington Park,2373,BATTERY | THEFT | ASSAULT,43.7,31.3,15.8,0,Monday,50.4,APARTMENT,Jun,12am–1am
Near South Side,2325,THEFT | BATTERY | MOTOR VEHICLE THEFT,30.7,13.4,16.8,0,Sunday,49.1,STREET,Jul,12am–1am
Irving Park,2200,THEFT | BATTERY | CRIMINAL DAMAGE,28.7,16.4,11.0,0,Friday,49.0,STREET,Jul,12am–1am
Avondale,2178,THEFT | BATTERY | CRIMINAL DAMAGE,24.1,13.9,13.5,15,Friday,45.1,STREET,Jun,3pm–4pm
Albany Park,2174,THEFT | BATTERY | CRIMINAL DAMAGE,33.9,16.8,15.7,0,Friday,48.0,STREET,Aug,12am–1am
Gage Park,2160,THEFT | BATTERY | CRIMINAL DAMAGE,33.6,21.0,12.2,19,Sunday,50.6,STREET,Jul,7pm–8pm
Brighton Park,2006,BATTERY | THEFT | CRIMINAL DAMAGE,37.3,23.5,14.8,0,Saturday,52.0,STREET,Oct,12am–1am
Kenwood,2000,THEFT | BATTERY | CRIMINAL DAMAGE,29.9,23.4,7.7,0,Monday,45.7,APARTMENT,Jul,12am–1am
Ashburn,1965,BATTERY | THEFT | MOTOR VEHICLE THEFT,36.6,25.2,8.8,0,Friday,50.6,RESIDENCE,Oct,12am–1am
Garfield Ridge,1882,THEFT | BATTERY | CRIMINAL DAMAGE,27.3,15.1,16.8,0,Friday,52.4,STREET,Aug,12am–1am
Lincoln Square,1859,THEFT | BATTERY | CRIMINAL DAMAGE,26.4,8.8,9.9,12,Tuesday,41.9,STREET,Apr,12pm–1pm
Morgan Park,1818,THEFT | BATTERY | CRIMINAL DAMAGE,33.7,25.0,12.5,12,Friday,44.4,RESIDENCE,Jul,12pm–1pm
South Deering,1693,THEFT | BATTERY | CRIMINAL DAMAGE,35.9,22.3,14.9,12,Tuesday,46.0,STREET,Jul,12pm–1pm
Bridgeport,1633,THEFT | BATTERY | CRIMINAL DAMAGE,29.6,18.1,12.6,0,Friday,47.3,STREET,Aug,12am–1am
West Lawn,1625,THEFT | BATTERY | CRIMINAL DAMAGE,30.0,19.1,15.1,0,Friday,50.0,STREET,Aug,12am–1am
Ohare,1554,THEFT | BATTERY | DECEPTIVE PRACTICE,22.4,7.8,18.4,12,Monday,43.1,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,May,12pm–1pm
Dunning,1355,BATTERY | THEFT | OTHER OFFENSE,31.4,23.4,12.5,0,Sunday,48.0,STREET,Oct,12am–1am
East Side,1335,BATTERY | CRIMINAL DAMAGE | THEFT,36.0,23.2,12.6,20,Sunday,54.8,STREET,Apr,8pm–9pm
North Center,1277,THEFT | CRIMINAL DAMAGE | BATTERY,20.8,9.5,5.7,0,Friday,48.7,STREET,Oct,12am–1am
Calumet Heights,1253,THEFT | BATTERY | CRIMINAL DAMAGE,34.2,21.7,9.5,0,Monday,57.0,STREET,Aug,12am–1am
Hermosa,1162,BATTERY | THEFT | CRIMINAL DAMAGE,37.3,23.1,17.0,15,Monday,50.1,STREET,Dec,3pm–4pm
Armour Square,1123,THEFT | BATTERY | CRIMINAL DAMAGE,34.3,12.1,14.2,0,Saturday,53.6,STREET,Aug,12am–1am
Norwood Park,1071,THEFT | BATTERY | DECEPTIVE PRACTICE,24.8,14.1,13.1,0,Monday,48.9,STREET,Jul,12am–1am
Avalon Park,1016,BATTERY | THEFT | CRIMINAL DAMAGE,36.9,24.0,11.1,0,Monday,49.9,STREET,Jul,12am–1am
Riverdale,1016,BATTERY | ASSAULT | CRIMINAL DAMAGE,50.5,36.5,12.2,21,Wednesday,46.5,RESIDENCE,Jul,9pm–10pm
Archer Heights,1010,THEFT | BATTERY | CRIMINAL DAMAGE,25.5,12.1,15.2,15,Friday,45.5,STREET,Jul,3pm–4pm
Pullman,1001,THEFT | BATTERY | CRIMINAL DAMAGE,35.7,21.3,20.9,0,Monday,44.9,RESIDENCE,Oct,12am–1am
Clearing,957,BATTERY | THEFT | CRIMINAL DAMAGE,32.0,23.9,11.4,0,Saturday,52.6,STREET,Sep,12am–1am
Beverly,929,THEFT | BATTERY | CRIMINAL DAMAGE,28.1,19.9,11.5,0,Friday,46.2,STREET,Oct,12am–1am
Mckinley Park,907,THEFT | BATTERY | CRIMINAL DAMAGE,29.2,16.1,15.4,15,Friday,43.3,STREET,Sep,3pm–4pm
North Park,897,THEFT | BATTERY | CRIMINAL DAMAGE,27.9,14.7,10.3,14,Friday,43.4,STREET,Aug,2pm–3pm
West Elsdon,881,BATTERY | THEFT | CRIMINAL DAMAGE,34.4,21.8,12.5,0,Wednesday,50.3,STREET,Jun,12am–1am
Jefferson Park,847,BATTERY | THEFT | CRIMINAL DAMAGE,32.6,16.6,15.6,0,Friday,50.2,STREET,Aug,12am–1am
Oakland,829,BATTERY | THEFT | MOTOR VEHICLE THEFT,33.5,24.0,9.3,0,Saturday,55.2,APARTMENT,Jul,12am–1am
Hegewisch,727,CRIMINAL DAMAGE | BATTERY | THEFT,29.4,22.4,6.9,0,Monday,53.5,STREET,Jun,12am–1am
Fuller Park,663,BATTERY | THEFT | ASSAULT,43.1,15.1,21.3,12,Monday,50.5,STREET,Jun,12pm–1pm
Montclare,660,THEFT | BATTERY | CRIMINAL DAMAGE,28.2,20.8,10.0,0,Saturday,52.9,STREET,Jul,12am–1am
Mount Greenwood,508,THEFT | BATTERY | DECEPTIVE PRACTICE,31.3,27.0,6.9,0,Friday,49.0,RESIDENCE,Nov,12am–1am
Forest Glen,385,THEFT | BATTERY | BURGLARY,21.0,17.4,9.1,0,Thursday,49.9,STREET,Jun,12am–1am
Burnside,254,THEFT | BATTERY | CRIMINAL DAMAGE,35.0,22.8,6.7,11,Friday,50.4,RESIDENCE,Apr,11am–12pm
Edison Park,232,BATTERY | THEFT | DECEPTIVE PRACTICE,29.3,17.7,9.1,21,Friday,50.0,RESIDENCE,Jun,9pm–10pm
Unknown,9,DECEPTIVE PRACTICE | NARCOTICS | PUBLIC PEACE VIOLATION,11.1,0.0,22.2,16,Friday,11.1,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,Oct,4pm–5pm
