neighborhood,total_posts,negative_fear,neutral_concern,positive_reassuring,negative_ratio,total_safety_score,risk_rating,color
South Deering,1,1,0,0,1.0,2,Insufficient Data,gray
Cragin,2,2,0,0,1.0,7,Insufficient Data,gray
West Englewood,2,2,0,0,1.0,2,Insufficient Data,gray
Chicago Lawn,1,1,0,0,1.0,2,Insufficient Data,gray
West Lawn,1,1,0,0,1.0,2,Insufficient Data,gray
Ashburn,1,1,0,0,1.0,2,Insufficient Data,gray
Forest Glen,1,1,0,0,1.0,2,Insufficient Data,gray
Dunning,1,1,0,0,1.0,2,Insufficient Data,gray
Belmont Cragin,1,1,0,0,1.0,2,Insufficient Data,gray
Archer Heights,1,1,0,0,1.0,2,Insufficient Data,gray
Riverdale,2,2,0,0,1.0,3,Insufficient Data,gray
Calumet Heights,1,1,0,0,1.0,2,Insufficient Data,gray
Grand Boulevard,1,1,0,0,1.0,2,Insufficient Data,gray
Near North Side,1,1,0,0,1.0,2,Insufficient Data,gray
Washington Heights,1,1,0,0,1.0,2,Insufficient Data,gray
Fulton Park,1,1,0,0,1.0,5,Insufficient Data,gray
Auburn Gresham,3,3,0,0,1.0,4,High Risk,red
West Garfield Park,3,3,0,0,1.0,8,High Risk,red
Clearing,2,2,0,0,1.0,7,Insufficient Data,gray
Washington Park,3,3,0,0,1.0,8,High Risk,red
Grand Crossing,3,3,0,0,1.0,8,High Risk,red
Gage Park,1,1,0,0,1.0,2,Insufficient Data,gray
Norwood Park,4,3,0,1,0.75,8,High Risk,red
Roseland,4,3,0,1,0.75,13,High Risk,red
Morgan Park,3,2,1,0,0.67,3,High Risk,red
Brighton Park,3,2,0,1,0.67,4,High Risk,red
Hermosa,3,2,0,1,0.67,7,High Risk,red
Englewood,13,8,3,2,0.62,21,High Risk,red
Douglas,5,3,2,0,0.6,9,High Risk,red
South Shore,10,5,4,1,0.5,12,High Risk,red
East Garfield Park,4,2,1,1,0.5,5,High Risk,red
Pullman,2,1,0,1,0.5,2,Insufficient Data,gray
North Park,2,1,0,1,0.5,2,Insufficient Data,gray
McKinley Park,4,2,2,0,0.5,9,High Risk,red
Beverly,2,1,1,0,0.5,2,Insufficient Data,gray
Mount Greenwood,2,1,1,0,0.5,3,Insufficient Data,gray
Hegewisch,2,1,1,0,0.5,3,Insufficient Data,gray
Montclare,2,1,1,0,0.5,2,Insufficient Data,gray
Chatham,4,2,1,1,0.5,5,High Risk,red
Back of the Yards,4,2,2,0,0.5,3,High Risk,red
University Village,2,1,0,1,0.5,1,Insufficient Data,gray
Irving Park,7,3,4,0,0.43,10,Medium Risk,orange
East Side,7,3,3,1,0.43,8,Medium Risk,orange
South Chicago,5,2,2,1,0.4,8,Medium Risk,orange
Austin,23,8,9,6,0.35,24,Medium Risk,orange
Garfield Park,15,5,4,6,0.33,23,Medium Risk,orange
Portage Park,3,1,2,0,0.33,6,Medium Risk,orange
Little Italy,3,1,1,1,0.33,1,Medium Risk,orange
Near West Side,3,1,0,2,0.33,4,Medium Risk,orange
Little Village,12,4,6,2,0.33,13,Medium Risk,orange
Pilsen,25,7,12,6,0.28,32,Lower Risk,green
Albany Park,11,3,3,5,0.27,18,Lower Risk,green
Andersonville,19,5,8,6,0.26,17,Lower Risk,green
Rogers Park,31,8,8,15,0.26,35,Lower Risk,green
North Center,4,1,1,2,0.25,3,Lower Risk,green
Ravenswood,12,3,6,3,0.25,15,Lower Risk,green
Gold Coast,12,3,3,6,0.25,9,Lower Risk,green
Boystown,8,2,4,2,0.25,6,Lower Risk,green
Uptown,39,9,14,16,0.23,42,Lower Risk,green
Loop,135,30,66,39,0.22,138,Lower Risk,green
Avondale,14,3,5,6,0.21,14,Lower Risk,green
Bridgeport,10,2,4,4,0.2,10,Lower Risk,green
Magnificent Mile,20,4,7,9,0.2,13,Lower Risk,green
Lakeview,54,10,17,27,0.19,53,Lower Risk,green
Ukrainian Village,11,2,7,2,0.18,12,Lower Risk,green
Jefferson Park,6,1,3,2,0.17,6,Lower Risk,green
Hyde Park,35,6,18,11,0.17,28,Lower Risk,green
Woodlawn,6,1,3,2,0.17,13,Lower Risk,green
Edgewater,29,5,12,12,0.17,28,Lower Risk,green
River North,45,7,14,24,0.16,30,Lower Risk,green
Logan Square,54,8,30,16,0.15,54,Lower Risk,green
Lincoln Park,67,10,24,33,0.15,64,Lower Risk,green
West Loop,41,6,18,17,0.15,31,Lower Risk,green
Bronzeville,7,1,4,2,0.14,5,Lower Risk,green
West Town,14,2,8,4,0.14,11,Lower Risk,green
Millennium Park,22,3,9,10,0.14,10,Lower Risk,green
Humboldt Park,23,3,13,7,0.13,23,Lower Risk,green
Navy Pier,25,3,10,12,0.12,14,Lower Risk,green
Bucktown,18,2,9,7,0.11,24,Lower Risk,green
South Loop,26,2,15,9,0.08,23,Lower Risk,green
Streeterville,12,1,6,5,0.08,10,Lower Risk,green
Fulton Market,15,1,6,8,0.07,9,Lower Risk,green
Chinatown,18,1,9,8,0.06,18,Lower Risk,green
Wicker Park,37,2,21,14,0.05,40,Lower Risk,green
Printer's Row,1,0,1,0,0.0,4,Insufficient Data,gray
Noble Square,3,0,2,1,0.0,1,Lower Risk,green
Marquette Park,1,0,1,0,0.0,1,Insufficient Data,gray
