Neighbourhoods,TOTAL_REQUESTS,OPEN_REQUESTS,AVG_RESOLUTION_HOURS,MEDIAN_RESOLUTION_HOURS,AVG_REQUEST_HOUR,AVG_FINISH_HOUR,MOST_COMMON_SR_TYPE,MOST_COMMON_DAY,MOST_COMMON_MONTH,SR_TYPE_Abandoned Vehicle Complaint,SR_TYPE_Alley Light Out Complaint,SR_TYPE_Street Light Out Complaint,SR_TYPE_Vacant/Abandoned Building Complaint,PEAK_REQUEST_HOUR,SR_TYPE_Abandoned Vehicle Complaint_PCT,SR_TYPE_Alley Light Out Complaint_PCT,SR_TYPE_Street Light Out Complaint_PCT,SR_TYPE_Vacant/Abandoned Building Complaint_PCT
Austin,4776,4776,433,170.7677778,12.35050251,10.85052854,Abandoned Vehicle Complaint,Tuesday,March,3084,279,1110,303,9,0.645728643,0.058417085,0.23241206,0.063442211
Belmont Cragin,3430,3430,384.07,171.6725,13.64664723,10.91830161,Abandoned Vehicle Complaint,Tuesday,May,2492,179,705,54,15,0.726530612,0.052186589,0.205539359,0.01574344
Portage Park,2576,2576,366.11,196.9141667,13.64052795,10.72982456,Abandoned Vehicle Complaint,Tuesday,May,1693,104,710,69,10,0.657220497,0.040372671,0.275621118,0.026785714
New City,2552,2552,365.2,99.91305556,12.71943574,10.96400316,Abandoned Vehicle Complaint,Tuesday,March,1350,129,906,167,7,0.528996865,0.050548589,0.355015674,0.065438871
Roseland,2532,2532,441.86,95.40805556,13.66706161,11.16892971,Street Light Out Complaint,Monday,May,791,293,1119,329,15,0.312401264,0.115718799,0.441943128,0.129936809
Dunning,2457,2457,349.35,184.5065278,13.46764347,11.1730927,Abandoned Vehicle Complaint,Monday,September,1452,147,794,64,13,0.590964591,0.05982906,0.323158323,0.026048026
Chicago Lawn,2409,2409,441.7,189.5136111,12.95184724,10.71141782,Abandoned Vehicle Complaint,Tuesday,November,1533,150,561,165,9,0.636363636,0.062266501,0.232876712,0.068493151
Auburn Gresham,2333,2333,382.72,140.5313889,13.64852122,11.25054277,Abandoned Vehicle Complaint,Tuesday,March,977,212,925,219,20,0.418774111,0.090870124,0.396485212,0.093870553
South Lawndale,2257,2257,436.43,143.3013889,13.68010634,12.01658449,Abandoned Vehicle Complaint,Wednesday,August,1187,117,889,64,20,0.525919362,0.051838724,0.393885689,0.028356225
West Town,2246,2246,340.14,115.2318056,12.94835263,11.1309417,Abandoned Vehicle Complaint,Tuesday,July,1249,105,822,70,11,0.556099733,0.046749777,0.365983972,0.031166518
Humboldt Park,2171,2171,467.18,166.9166667,12.77429756,10.57228916,Abandoned Vehicle Complaint,Tuesday,September,1424,131,451,165,7,0.655918931,0.060340857,0.207738369,0.076001842
Irving Park,2034,2034,384.41,134.8969444,13.453294,10.68790123,Abandoned Vehicle Complaint,Wednesday,March,1275,67,651,41,16,0.626843658,0.03294002,0.320058997,0.020157325
Logan Square,2026,2026,368.28,138.2286111,13.33366239,10.88276205,Abandoned Vehicle Complaint,Wednesday,March,1204,125,628,69,14,0.594274432,0.061697927,0.309970385,0.034057256
West Ridge,1984,1984,489.55,197.9952778,13.11995968,10.80193977,Abandoned Vehicle Complaint,Monday,July,1434,106,419,25,10,0.722782258,0.053427419,0.211189516,0.012600806
South Chicago,1937,1937,360.51,104.6419444,13.69230769,10.71599792,Abandoned Vehicle Complaint,Wednesday,July,812,141,803,181,14,0.419204956,0.072792979,0.414558596,0.093443469
West Englewood,1920,1920,480.66,185.8340278,12.59166667,10.70855333,Abandoned Vehicle Complaint,Thursday,October,990,125,391,414,9,0.515625,0.065104167,0.203645833,0.215625
Greater Grand Crossing,1911,1911,352.85,91.73055556,13.00575615,10.55713533,Abandoned Vehicle Complaint,Thursday,March,931,86,694,200,9,0.487179487,0.045002616,0.363160649,0.104657248
North Lawndale,1894,1894,441.28,164.0715278,12.69218585,11.51814301,Abandoned Vehicle Complaint,Thursday,July,1033,119,617,125,7,0.545406547,0.062829989,0.325765576,0.065997888
Gage Park,1766,1766,357.75,100.8391667,13.60928652,10.3597944,Abandoned Vehicle Complaint,Tuesday,February,1155,104,476,31,9,0.654020385,0.058890147,0.269535674,0.017553794
South Shore,1757,1757,389.15,134.1326389,13.04553216,10.90114286,Abandoned Vehicle Complaint,Monday,July,1034,44,532,147,9,0.58850313,0.025042686,0.302788845,0.083665339
West Pullman,1717,1717,497.97,134.2316667,13.23704135,10.80744241,Street Light Out Complaint,Wednesday,May,568,179,695,275,12,0.330809552,0.104251602,0.404775772,0.160163075
Brighton Park,1650,1650,308.56,117.5248611,13.39333333,11.37760098,Abandoned Vehicle Complaint,Tuesday,August,955,96,562,37,9,0.578787879,0.058181818,0.340606061,0.022424242
Garfield Ridge,1629,1629,278.46,84.85333333,13.5267035,10.88971041,Abandoned Vehicle Complaint,Wednesday,March,787,137,680,25,20,0.483118478,0.084100675,0.417434009,0.015346839
Chatham,1623,1623,383.46,137.7361111,13.65619224,10.88578523,Abandoned Vehicle Complaint,Wednesday,July,767,118,576,162,18,0.472581639,0.072704868,0.354898336,0.099815157
Norwood Park,1546,1546,331.46,185.7183333,13.14812419,10.26983095,Abandoned Vehicle Complaint,Tuesday,March,724,136,651,35,20,0.468305304,0.087968952,0.421086675,0.022639069
Ashburn,1520,1520,342.32,145.7141667,13.95263158,11.01542589,Abandoned Vehicle Complaint,Monday,March,730,118,645,27,20,0.480263158,0.077631579,0.424342105,0.017763158
Washington Heights,1484,1484,432.43,137.3127778,13.70080863,11.51523358,Street Light Out Complaint,Tuesday,May,549,136,644,155,9,0.369946092,0.091644205,0.433962264,0.104447439
Near West Side,1447,1447,292.37,86.04666667,13.02833449,12.25990271,Street Light Out Complaint,Tuesday,August,543,75,781,48,21,0.375259157,0.051831375,0.539737388,0.03317208
Englewood,1429,1429,413.73,143.7706944,12.64940518,10.86162625,Abandoned Vehicle Complaint,Tuesday,April,641,95,408,285,10,0.44856543,0.066480056,0.285514346,0.199440168
West Lawn,1428,1428,373.04,116.8904167,13.32843137,10.25071225,Abandoned Vehicle Complaint,Thursday,December,984,83,350,11,9,0.68907563,0.058123249,0.245098039,0.007703081
Bridgeport,1400,1400,270.35,85.17,12.70357143,11.19813352,Abandoned Vehicle Complaint,Wednesday,March,759,109,493,39,7,0.542142857,0.077857143,0.352142857,0.027857143
Lake View,1300,1300,430.67,133.0345833,12.44692308,11.01944012,Street Light Out Complaint,Wednesday,June,585,92,600,23,8,0.45,0.070769231,0.461538462,0.017692308
East Side,1291,1291,294.51,94.35333333,13.73044152,10.6953798,Abandoned Vehicle Complaint,Tuesday,August,636,95,548,12,20,0.492641363,0.073586367,0.424477149,0.00929512
Lower West Side,1278,1278,336,101.7538889,13.57981221,12.30696203,Street Light Out Complaint,Monday,May,554,62,624,38,20,0.433489828,0.048513302,0.488262911,0.029733959
Lincoln Park,1274,1274,481.88,156.0258333,13.27864992,11.38699445,Street Light Out Complaint,Thursday,July,486,87,630,71,21,0.381475667,0.068288854,0.494505495,0.055729984
Rogers Park,1239,1239,510,191.2436111,13.04761905,10.82938776,Abandoned Vehicle Complaint,Tuesday,June,869,43,311,16,11,0.701372074,0.034705408,0.251008878,0.01291364
Avondale,1194,1194,386.07,135.3002778,13.09380235,10.6836302,Abandoned Vehicle Complaint,Tuesday,June,794,55,327,18,15,0.664991625,0.046063652,0.273869347,0.015075377
South Deering,1150,1150,361.38,93.99111111,13.87043478,10.79026549,Street Light Out Complaint,Tuesday,June,438,85,569,58,16,0.380869565,0.073913043,0.494782609,0.050434783
Albany Park,1148,1148,433.5,174.0116667,13.44860627,10.6360424,Abandoned Vehicle Complaint,Tuesday,March,719,66,332,31,14,0.62630662,0.057491289,0.289198606,0.027003484
West Garfield Park,1131,1131,577.05,190.0930556,12.17152962,10.94122885,Abandoned Vehicle Complaint,Wednesday,October,679,77,290,85,9,0.600353669,0.068081344,0.256410256,0.07515473
